Organization [id=1, userName=APS, password=password]
Organization [id=2, userName=ACCESS, password=yrgudq]
Organization [id=3, userName=ChEn, password=hkzcls]
Organization [id=4, userName=CES, password=uqrnyb]
Organization [id=5, userName=ECES, password=zffgnw]
Organization [id=6, userName=IMES, password=yspfgp]
Organization [id=7, userName=MES, password=siunxc]
Organization [id=8, userName=SME, password=glmgyl]
Organization [id=9, userName=LSCS, password=fngrbn]
Organization [id=10, userName=UNITED, password=fiqmck]
Organization [id=11, userName=ENGLICOM, password=kszqcm]
Organization [id=12, userName=ROTARACT, password=yyxhpb]
Organization [id=13, userName=UNISTO, password=scwfla]
Organization [id=14, userName=AIESEC, password=dvhzuu]
Organization [id=15, userName=MOOMEDIA, password=aluoae]
Organization [id=16, userName=OC, password=uteaay]
Organization [id=17, userName=WG, password=vnhokg]
Organization [id=18, userName=ECO, password=ofbcdn]
Organization [id=19, userName=GAS, password=keoqqx]
Organization [id=20, userName=ChemSoc, password=efedwz]
Organization [id=21, userName=Math Circle, password=uzmenu]
Organization [id=22, userName=PhySoc, password=fuzojq]
Organization [id=23, userName=SV, password=xxkycj]
Organization [id=24, userName=AdCreate, password=yodbpd]
Organization [id=25, userName=BMS, password=qtsbwe]
Organization [id=26, userName=EconOrg, password=ikscvx]
Organization [id=27, userName=JEMA, password=yoxhzt]
Organization [id=28, userName=JPIA, password=jyzyrr]
Organization [id=29, userName=LLS, password=mewhcv]
Organization [id=30, userName=MaFIA, password=hackzb]
Organization [id=31, userName=YES, password=gemtxg]
Organization [id=32, userName=AMSTUD, password=vjbumn]
Organization [id=33, userName=BSS, password=ozsbkx]
Organization [id=34, userName=DANUM, password=pajdcn]
Organization [id=35, userName=ESA, password=yyrwrg]
Organization [id=36, userName=SDH, password=uxwzsk]
Organization [id=37, userName=DLSU Pilosopo, password=kpxeho]
Organization [id=38, userName=NKK, password=tjgbjr]
Organization [id=39, userName=POLISCY, password=utswqe]
Organization [id=40, userName=SMS, password=ffcdjx]
Organization [id=41, userName=TEAMCOMM, password=kywxmr]
Organization [id=42, userName=KKK, password=cfjbab]
